"","V1"
"452",4
"453",1
"454",1
"455",2
"456",4
"457",2
"458",3
"459",2
"460",3
"461",2
"462",2
"463",2
"464",3
"465",3
"466",2
"467",2
"468",1
"469",1
"470",3
"471",4
"472",4
"473",2
"474",1
"475",1
"476",2
"477",2
"478",2
"479",2
"480",3
"481",5
"482",1
"483",2
"484",2
"485",3
"486",3
"487",3
"488",3
"489",3
"490",2
"491",2
"492",1
"493",1
"494",1
"495",1
"496",1
"497",1
"498",1
"499",5
"500",2
"501",1
"502",1
"503",1
"504",1
"505",1
"506",1
"507",1
"508",1
"509",1
"510",4
"511",1
"512",1
"513",1
"514",1
"515",5
"516",1
"517",1
"518",5
"519",5
"520",1
"521",2
"522",1
"523",1
"524",1
"525",1
"526",1
"527",1
"528",1
"529",1
"530",2
"531",2
"532",1
"533",2
"534",2
"535",1
"536",4
"537",4
"538",4
"539",1
"540",2
"541",2
"542",4
"543",1
"544",5
"545",4
"546",4
"547",4
"548",3
"549",1
"550",5
"551",4
"552",3
"553",2
"554",4
"555",2
"556",2
"557",2
"558",1
"559",1
"560",2
"561",1
"562",3
"563",3
"564",1
"565",2
"566",3
"567",3
"568",2
"569",2
"570",1
"571",4
"572",1
"573",1
"574",1
"575",2
"576",3
"577",4
"578",2
"579",4
"580",1
"581",4
"582",4
"583",2
"584",4
"585",4
"586",2
"587",1
"588",2
"589",1
"590",2
"591",2
"592",1
"593",4
"594",4
"595",2
"596",2
"597",1
"598",2
"599",2
"600",2
"601",4
"602",1
"603",2
"604",3
"605",2
"606",1
"607",2
"608",2
"609",2
"610",3
"611",4
"612",2
"613",4
"614",4
"615",2
"616",3
"617",1
"618",2
"619",1
"620",1
"621",2
"622",3
"623",4
"624",2
"625",3
"626",1
"627",3
"628",3
"629",2
"630",3
"631",2
"632",4
"633",4
"634",2
"635",2
"636",1
"637",1
"638",4
"639",2
"640",1
"641",2
"642",1
"643",1
"644",4
"645",1
"646",1
"647",3
"648",3
"649",1
"650",2
"651",3
"652",3
"653",4
"654",3
"655",3
"656",3
"657",3
"658",2
"659",3
"660",4
"661",3
"662",3
"663",3
"664",4
"665",1
"666",3
"667",3
"668",3
"669",1
"670",3
"671",3
"672",1
"673",4
"674",2
"675",4
"676",1
"677",5
"678",1
"679",4
"680",1
"681",2
"682",3
"683",2
"684",2
"685",1
"686",1
"687",1
"688",1
"689",2
"690",3
"691",1
"692",3
"693",1
"694",3
"695",1
"696",2
"697",4
"698",2
"699",1
"700",1
"701",1
"702",1
"703",3
"704",1
"705",4
"706",3
"707",1
"708",1
"709",2
"710",3
"711",4
"712",1
"713",2
"714",2
"715",2
"716",5
"717",2
"718",1
"719",3
"720",1
"721",2
"722",1
"723",2
"724",2
"725",4
"726",1
"727",2
"728",2
"729",3
"730",4
"731",2
"732",2
"733",1
"734",4
"735",2
"736",1
"737",2
"738",1
"739",5
"740",2
"741",1
"742",2
"743",1
"744",2
"745",4
"746",1
"747",2
"748",1
"749",4
"750",4
"751",4
"752",4
"753",3
"754",4
"755",1
"756",4
"757",3
"758",4
"759",3
"760",2
"761",3
"762",3
"763",3
"764",2
"765",3
"766",2
"767",2
"768",3
"769",2
"770",1
"771",3
"772",1
"773",1
"774",3
"775",3
"776",1
"777",5
"778",5
"779",3
"780",3
"781",3
"782",2
"783",3
"784",2
"785",2
"786",3
"787",3
"788",3
"789",3
"790",3
"791",2
"792",1
"793",2
"794",3
"795",3
"796",3
"797",1
"798",2
"799",2
"800",4
"801",4
"802",2
"803",5
"804",5
"805",4
"806",2
"807",2
"808",5
"809",2
"810",1
"811",2
"812",2
"813",1
"814",1
"815",5
"816",2
"817",4
"818",4
"819",1
"820",1
"821",4
"822",4
"823",4
"824",1
"825",2
"826",1
"827",2
"828",4
"829",1
"830",1
"831",4
"832",2
"833",3
"834",3
"835",4
"836",2
"837",1
"838",3
"839",4
"840",1
"841",1
"842",4
"843",1
"844",1
"845",2
"846",5
"847",3
"848",3
"849",2
"850",2
"851",2
"852",4
"853",5
"854",2
"855",5
"856",4
"857",2
"858",1
"859",1
"860",3
"861",2
"862",2
"863",2
"864",2
"865",2
"866",1
"867",1
"868",1
"869",1
"870",1
"871",1
"872",3
"873",4
"874",1
"875",3
"876",1
"877",1
"878",2
"879",3
"880",5
"881",1
"882",1
"883",4
"884",5
"885",1
"886",1
"887",3
"888",2
"889",3
"890",3
"891",3
"892",3
"893",3
"894",1
"895",3
"896",3
"897",3
"898",3
"899",1
"900",3
"901",3
"902",1
"903",3
"904",3
"905",2
"906",3
"907",5
"908",3
"909",3
"910",3
"911",2
"912",2
"913",3
"914",5
"915",1
"916",1
"917",1
"918",2
"919",1
"920",1
"921",3
"922",1
"923",1
"924",2
"925",3
"926",1
"927",5
"928",1
"929",1
"930",1
"931",1
"932",1
"933",1
"934",1
"935",1
"936",1
"937",2
"938",1
"939",3
"940",1
"941",2
"942",2
"943",1
"944",5
"945",5
"946",1
"947",1
"948",1
"949",1
"950",1
"951",2
"952",2
"953",1
"954",1
"955",4
"956",2
"957",1
"958",4
"959",3
"960",4
"961",3
"962",1
"963",1
"964",1
"965",1
"966",1
"967",5
"968",2
"969",2
"970",2
"971",3
"972",1
"973",1
"974",3
"975",4
"976",4
"977",4
"978",3
"979",2
"980",1
"981",2
"982",2
"983",1
"984",4
"985",4
"986",1
"987",1
"988",1
"989",1
"990",4
"991",2
"992",1
"993",4
"994",3
"995",3
"996",2
"997",2
"998",1
"999",2
"1000",5
"1001",1
"1002",4
"1003",4
"1004",2
"1005",1
"1006",1
"1007",1
"1008",1
"1009",1
"1010",1
"1011",1
"1012",1
"1013",1
"1014",1
"1015",1
"1016",1
"1017",1
"1018",1
"1019",5
"1020",1
"1021",1
"1022",1
"1023",1
"1024",1
"1025",3
"1026",1
"1027",1
"1028",1
"1029",3
"1030",1
"1031",3
"1032",3
"1033",2
"1034",2
"1035",2
"1036",4
"1037",2
"1038",2
"1039",1
"1040",3
"1041",1
"1042",2
"1043",1
"1044",1
"1045",1
"1046",1
"1047",1
"1048",2
"1049",2
"1050",1
"1051",1
"1052",1
"1053",2
"1054",1
"1055",2
"1056",4
"1057",1
"1058",1
"1059",1
"1060",1
"1061",1
"1062",1
"1063",1
"1064",2
"1065",4
"1066",3
"1067",2
"1068",1
"1069",3
"1070",1
"1071",1
"1072",2
"1073",4
"1074",2
"1075",1
"1076",4
"1077",2
"1078",1
"1079",1
"1080",1
"1081",2
"1082",3
"1083",4
"1084",4
"1085",1
"1086",3
"1087",3
"1088",1
"1089",4
"1090",1
"1091",2
"1092",2
"1093",1
"1094",3
"1095",5
"1096",2
"1097",5
"1098",5
"1099",1
"1100",1
"1101",2
"1102",3
"1103",3
"1104",2
"1105",2
"1106",2
"1107",1
"1108",5
"1109",4
"1110",2
"1111",1
"1112",3
"1113",1
"1114",4
"1115",2
"1116",3
"1117",1
"1118",1
"1119",4
"1120",2
"1121",4
"1122",2
"1123",3
"1124",2
"1125",1
"1126",1
"1127",1
"1128",1
"1129",1
"1130",1
"1131",1
"1132",1
"1133",2
"1134",1
"1135",1
"1136",1
"1137",1
"1138",1
"1139",1
"1140",2
"1141",4
"1142",1
"1143",1
"1144",5
"1145",1
"1146",1
"1147",1
"1148",2
"1149",1
"1150",5
"1151",1
"1152",1
"1153",2
"1154",2
"1155",1
"1156",1
"1157",5
"1158",1
"1159",2
"1160",1
"1161",1
"1162",5
"1163",1
"1164",4
"1165",1
"1166",1
"1167",2
"1168",1
"1169",1
"1170",2
"1171",1
"1172",2
"1173",3
"1174",2
"1175",2
"1176",3
"1177",2
"1178",3
"1179",4
"1180",3
"1181",3
"1182",2
"1183",5
"1184",5
"1185",4
"1186",3
"1187",1
"1188",2
"1189",1
"1190",1
"1191",3
"1192",3
"1193",5
"1194",2
"1195",1
"1196",2
"1197",2
"1198",2
"1199",1
"1200",3
"1201",3
"1202",1
"1203",1
"1204",2
"1205",4
"1206",2
"1207",2
"1208",2
"1209",2
"1210",2
"1211",3
"1212",4
"1213",3
"1214",1
"1215",2
"1216",2
"1217",2
"1218",5
"1219",1
"1220",1
"1221",1
"1222",1
"1223",1
"1224",3
"1225",4
"1226",3
"1227",4
"1228",4
"1229",3
"1230",4
"1231",4
"1232",1
"1233",1
"1234",1
"1235",5
"1236",1
"1237",1
"1238",4
"1239",1
"1240",3
"1241",1
"1242",1
"1243",1
"1244",4
"1245",3
"1246",1
"1247",4
"1248",2
"1249",3
"1250",1
"1251",3
"1252",4
"1253",1
"1254",3
"1255",3
"1256",2
"1257",3
"1258",2
"1259",1
"1260",3
"1261",1
"1262",2
"1263",1
"1264",3
"1265",1
"1266",3
"1267",5
"1268",1
"1269",1
"1270",1
"1271",1
"1272",1
"1273",1
"1274",1
"1275",1
"1276",1
"1277",5
"1278",2
"1279",1
"1280",1
"1281",1
"1282",1
"1283",5
"1284",1
"1285",1
"1286",5
"1287",3
"1288",1
"1289",5
"1290",1
"1291",3
"1292",5
"1293",3
"1294",4
"1295",1
"1296",3
"1297",5
"1298",4
"1299",3
"1300",1
"1301",1
"1302",3
"1303",3
"1304",1
"1305",3
"1306",2
"1307",1
"1308",2
"1309",1
"1310",1
"1311",1
"1312",1
"1313",1
"1314",1
"1315",5
"1316",1
"1317",1
"1318",1
"1319",1
"1320",2
"1321",2
"1322",2
"1323",1
"1324",1
"1325",1
"1326",4
"1327",4
"1328",3
"1329",3
"1330",1
"1331",1
"1332",1
"1333",4
"1334",1
"1335",1
"1336",1
"1337",1
"1338",4
"1339",4
"1340",1
"1341",1
"1342",4
"1343",1
"1344",1
"1345",4
"1346",4
"1347",3
"1348",2
"1349",4
"1350",4
"1351",4
"1352",3
"1353",4
"1354",4
"1355",1
"1356",1
"1357",2
"1358",3
"1359",2
"1360",3
"1361",1
"1362",2
"1363",2
"1364",1
"1365",3
"1366",3
"1367",3
"1368",2
"1369",2
"1370",1
"1371",1
"1372",1
"1373",3
"1374",3
"1375",4
"1376",2
"1377",2
"1378",1
"1379",1
"1380",1
"1381",1
"1382",3
"1383",4
"1384",1
"1385",1
"1386",4
"1387",1
"1388",1
"1389",5
"1390",4
"1391",5
"1392",1
"1393",1
"1394",4
"1395",4
"1396",3
"1397",1
"1398",1
"1399",1
"1400",1
"1401",4
"1402",1
"1403",1
"1404",4
"1405",2
"1406",1
"1407",1
"1408",1
"1409",1
"1410",3
"1411",3
"1412",1
"1413",3
"1414",2
"1415",2
"1416",4
"1417",1
"1418",5
"1419",4
"1420",1
"1421",1
"1422",1
"1423",4
"1424",2
"1425",2
"1426",3
"1427",3
"1428",4
"1429",4
"1430",1
"1431",3
"1432",3
"1433",1
"1434",1
"1435",1
"1436",1
"1437",3
"1438",4
"1439",1
"1440",2
"1441",4
"1442",3
"1443",4
"1444",1
"1445",3
"1446",2
"1447",3
"1448",3
"1449",2
"1450",3
"1451",2
"1452",3
"1453",3
"1454",3
"1455",2
"1456",2
"1457",2
"1458",2
"1459",1
"1460",1
"1461",2
"1462",3
"1463",3
"1464",1
"1465",5
"1466",1
"1467",4
"1468",2
"1469",4
"1470",3
"1471",1
"1472",2
"1473",3
"1474",1
"1475",4
"1476",1
"1477",2
"1478",3
"1479",3
"1480",2
"1481",1
"1482",2
"1483",2
"1484",1
"1485",1
"1486",2
"1487",2
"1488",3
"1489",2
"1490",1
"1491",2
"1492",1
"1493",3
"1494",2
"1495",3
"1496",2
"1497",3
"1498",1
"1499",1
"1500",1
"1501",3
"1502",2
"1503",2
"1504",4
"1505",2
"1506",1
"1507",3
"1508",3
"1509",2
"1510",2
"1511",2
"1512",1
"1513",2
"1514",1
"1515",2
"1516",1
"1517",2
"1518",1
"1519",1
"1520",1
"1521",4
"1522",2
"1523",1
"1524",4
"1525",4
"1526",1
"1527",1
"1528",3
"1529",3
"1530",2
"1531",1
"1532",2
"1533",3
"1534",1
"1535",1
"1536",1
"1537",1
"1538",1
"1539",1
"1540",1
"1541",4
"1542",1
"1543",5
"1544",3
"1545",3
"1546",2
"1547",1
"1548",1
"1549",3
"1550",1
"1551",1
"1552",1
"1553",1
"1554",1
"1555",2
"1556",1
"1557",2
"1558",1
"1559",2
"1560",2
"1561",4
"1562",2
"1563",3
"1564",2
"1565",3
"1566",2
"1567",2
"1568",2
"1569",3
"1570",2
"1571",1
"1572",2
"1573",2
"1574",1
"1575",1
"1576",3
"1577",4
"1578",1
"1579",1
"1580",3
"1581",2
"1582",2
"1583",1
"1584",2
"1585",1
"1586",3
"1587",3
"1588",2
"1589",4
"1590",4
"1591",2
"1592",2
"1593",2
"1594",2
"1595",1
"1596",1
"1597",1
"1598",1
"1599",1
"1600",1
"1601",1
"1602",1
"1603",1
"1604",2
"1605",2
"1606",3
"1607",5
"1608",5
"1609",2
"1610",2
"1611",1
"1612",1
"1613",1
"1614",5
"1615",1
"1616",1
"1617",4
"1618",2
"1619",1
"1620",2
"1621",1
"1622",1
"1623",3
"1624",2
"1625",4
"1626",1
"1627",2
"1628",1
"1629",5
"1630",2
"1631",3
"1632",2
"1633",1
"1634",2
"1635",5
"1636",2
"1637",3
"1638",1
"1639",1
"1640",4
"1641",1
"1642",3
"1643",1
"1644",3
"1645",1
"1646",2
"1647",1
"1648",2
"1649",2
"1650",2
"1651",3
"1652",2
"1653",3
"1654",4
"1655",2
"1656",3
"1657",5
"1658",2
"1659",2
"1660",2
"1661",2
"1662",2
"1663",3
"1664",4
"1665",1
"1666",4
"1667",2
"1668",3
"1669",2
"1670",2
"1671",1
"1672",2
"1673",3
"1674",1
"1675",1
"1676",1
"1677",2
"1678",3
"1679",1
"1680",2
"1681",2
"1682",2
"1683",4
"1684",1
"1685",4
"1686",1
"1687",4
"1688",5
"1689",2
"1690",4
"1691",2
"1692",4
"1693",3
"1694",5
"1695",1
"1696",2
"1697",2
"1698",2
"1699",1
"1700",2
"1701",2
"1702",2
"1703",2
"1704",3
"1705",2
"1706",3
"1707",2
"1708",2
"1709",4
"1710",4
"1711",3
"1712",2
"1713",3
"1714",1
"1715",3
"1716",2
"1717",1
"1718",2
"1719",2
"1720",2
"1721",2
"1722",4
"1723",3
"1724",1
"1725",1
"1726",2
"1727",2
"1728",5
"1729",1
"1730",2
"1731",2
"1732",2
"1733",1
"1734",2
"1735",3
"1736",3
"1737",2
"1738",4
"1739",3
"1740",5
"1741",1
"1742",2
"1743",2
"1744",1
"1745",2
"1746",2
"1747",3
"1748",1
"1749",4
"1750",1
"1751",1
"1752",2
"1753",2
"1754",2
"1755",3
"1756",5
"1757",5
"1758",2
"1759",2
"1760",1
"1761",2
"1762",4
"1763",3
"1764",2
"1765",1
"1766",5
"1767",1
"1768",2
"1769",3
"1770",1
"1771",2
"1772",3
"1773",2
"1774",2
"1775",3
"1776",1
"1777",3
"1778",2
"1779",1
"1780",1
"1781",3
"1782",3
"1783",1
"1784",1
"1785",1
"1786",2
"1787",1
"1788",2
"1789",3
"1790",1
"1791",1
"1792",1
"1793",1
"1794",1
"1795",1
"1796",1
"1797",1
"1798",1
"1799",1
"1800",1
"1801",1
"1802",1
"1803",1
"1804",1
"1805",5
"1806",1
"1807",2
"1808",5
"1809",1
"1810",3
"1811",5
"1812",5
"1813",3
"1814",5
"1815",5
"1816",3
"1817",3
"1818",1
"1819",5
"1820",5
"1821",5
"1822",3
"1823",5
"1824",3
"1825",4
"1826",1
"1827",5
"1828",5
"1829",4
"1830",5
"1831",5
"1832",2
"1833",5
"1834",4
"1835",1
"1836",1
"1837",3
"1838",1
"1839",2
"1840",4
"1841",1
"1842",1
"1843",1
"1844",2
"1845",3
"1846",1
"1847",5
"1848",1
"1849",1
"1850",1
"1851",3
"1852",2
"1853",1
"1854",3
"1855",1
"1856",4
"1857",2
"1858",2
"1859",2
"1860",2
"1861",2
"1862",1
"1863",1
"1864",1
"1865",4
"1866",1
"1867",1
"1868",2
"1869",4
"1870",3
"1871",1
"1872",1
"1873",1
"1874",2
"1875",1
"1876",2
"1877",1
"1878",2
"1879",4
"1880",2
"1881",4
"1882",1
"1883",5
"1884",2
"1885",2
"1886",2
"1887",2
"1888",1
"1889",4
"1890",1
"1891",1
"1892",1
"1893",3
"1894",1
"1895",2
"1896",2
"1897",1
"1898",1
"1899",1
"1900",1
"1901",4
"1902",1
"1903",1
"1904",4
"1905",1
"1906",1
"1907",1
"1908",1
"1909",1
"1910",3
"1911",2
"1912",1
"1913",1
"1914",2
"1915",2
"1916",1
"1917",4
"1918",4
"1919",2
"1920",1
"1921",1
"1922",1
"1923",1
"1924",1
"1925",1
"1926",2
"1927",1
"1928",2
"1929",1
"1930",1
"1931",1
"1932",1
"1933",1
"1934",2
"1935",5
"1936",1
"1937",5
"1938",1
"1939",2
"1940",1
"1941",1
"1942",4
"1943",1
"1944",1
"1945",1
"1946",1
"1947",2
"1948",1
"1949",1
"1950",1
"1951",2
"1952",2
"1953",2
"1954",1
"1955",5
"1956",1
"1957",1
"1958",2
"1959",1
"1960",2
"1961",2
"1962",1
"1963",2
"1964",2
"1965",2
"1966",1
"1967",1
"1968",3
"1969",1
"1970",1
"1971",2
"1972",2
"1973",2
"1974",1
"1975",5
"1976",2
"1977",5
"1978",2
"1979",2
"1980",1
"1981",2
"1982",4
"1983",2
"1984",1
"1985",4
"1986",1
"1987",1
"1988",1
"1989",1
"1990",4
"1991",3
"1992",3
"1993",4
"1994",4
"1995",1
"1996",2
"1997",2
"1998",2
"1999",2
"2000",1
"2001",1
"2002",2
"2003",2
"2004",1
"2005",2
"2006",4
"2007",1
"2008",2
"2009",5
"2010",3
"2011",2
"2012",4
"2013",2
"2014",1
"2015",2
"2016",1
"2017",1
"2018",5
"2019",5
"2020",1
"2021",1
"2022",1
"2023",1
"2024",1
"2025",1
"2026",2
"2027",2
"2028",4
"2029",1
"2030",1
"2031",4
"2032",2
"2033",1
"2034",2
"2035",1
"2036",4
"2037",3
"2038",4
"2039",4
"2040",1
"2041",3
"2042",4
"2043",2
"2044",1
"2045",1
"2046",4
"2047",3
"2048",2
"2049",2
"2050",1
"2051",1
"2052",3
"2053",2
"2054",1
"2055",1
"2056",1
"2057",4
"2058",3
"2059",5
"2060",4
"2061",1
"2062",3
"2063",1
"2064",1
"2065",1
"2066",4
"2067",4
"2068",2
"2069",1
"2070",1
"2071",4
"2072",1
"2073",2
"2074",2
"2075",1
"2076",2
"2077",2
"2078",4
"2079",1
"2080",1
"2081",4
"2082",1
"2083",4
"2084",4
"2085",1
"2086",2
"2087",1
"2088",2
"2089",2
"2090",4
"2091",1
"2092",2
"2093",1
"2094",1
"2095",4
"2096",1
"2097",2
"2098",1
"2099",1
"2100",1
"2101",2
"2102",1
"2103",2
"2104",5
"2105",1
"2106",1
"2107",5
"2108",1
"2109",1
"2110",4
"2111",4
"2112",1
"2113",1
"2114",4
"2115",1
"2116",2
"2117",1
"2118",1
"2119",2
"2120",2
"2121",1
"2122",2
"2123",2
"2124",4
"2125",1
"2126",2
"2127",2
"2128",1
"2129",1
"2130",1
"2131",2
"2132",1
"2133",1
"2134",4
"2135",1
"2136",2
"2137",1
"2138",4
"2139",1
"2140",3
"2141",1
"2142",3
"2143",1
"2144",1
"2145",1
"2146",4
"2147",4
"2148",4
"2149",1
"2150",1
"2151",4
"2152",4
"2153",1
"2154",3
"2155",1
"2156",1
"2157",1
"2158",1
"2159",1
"2160",1
"2161",1
"2162",2
"2163",1
"2164",4
"2165",4
"2166",3
"2167",2
"2168",3
"2169",3
"2170",4
"2171",4
"2172",1
"2173",1
"2174",1
"2175",1
"2176",3
"2177",3
"2178",1
"2179",1
"2180",2
"2181",3
"2182",1
"2183",3
"2184",4
"2185",1
"2186",4
"2187",1
"2188",2
"2189",4
"2190",1
"2191",1
"2192",1
"2193",1
"2194",1
"2195",1
"2196",1
"2197",1
"2198",1
"2199",1
"2200",1
"2201",1
"2202",2
"2203",2
"2204",4
"2205",3
"2206",4
"2207",1
"2208",4
"2209",4
"2210",2
"2211",1
"2212",4
"2213",1
"2214",4
"2215",1
"2216",1
"2217",1
"2218",1
"2219",4
"2220",3
"2221",1
"2222",2
"2223",1
"2224",1
"2225",1
"2226",1
"2227",1
"2228",1
"2229",1
"2230",2
"2231",1
"2232",1
"2233",3
"2234",4
"2235",3
"2236",3
"2237",5
"2238",3
"2239",4
"2240",1
"2241",3
"2242",1
"2243",5
"2244",1
"2245",1
"2246",1
"2247",3
"2248",1
"2249",3
"2250",5
"2251",1
"2252",1
"2253",2
"2254",1
"2255",3
"2256",2
"2257",3
"2258",2
"2259",2
"2260",1
"2261",1
"2262",1
"2263",1
"2264",3
"2265",4
"2266",3
"2267",1
"2268",1
"2269",1
"2270",1
"2271",1
"2272",2
"2273",3
"2274",1
"2275",3
"2276",4
"2277",5
"2278",3
"2279",1
"2280",1
"2281",1
"2282",3
"2283",1
"2284",1
"2285",1
"2286",1
"2287",2
"2288",2
"2289",4
"2290",1
"2291",1
"2292",2
"2293",3
"2294",4
"2295",1
"2296",2
"2297",4
"2298",1
"2299",3
"2300",2
"2301",1
"2302",3
"2303",3
"2304",2
"2305",1
"2306",1
"2307",2
"2308",3
"2309",3
"2310",1
"2311",2
"2312",4
"2313",3
"2314",2
"2315",3
"2316",1
"2317",1
"2318",3
"2319",1
"2320",1
"2321",2
"2322",2
"2323",3
"2324",2
"2325",2
"2326",3
"2327",2
"2328",1
"2329",1
"2330",3
"2331",2
"2332",3
"2333",5
"2334",2
"2335",3
"2336",3
"2337",5
"2338",5
"2339",4
"2340",5
"2341",3
"2342",1
"2343",2
"2344",5
"2345",3
"2346",2
"2347",1
"2348",1
"2349",3
"2350",2
"2351",4
"2352",1
"2353",2
"2354",2
"2355",1
"2356",2
"2357",1
"2358",1
"2359",4
"2360",1
"2361",3
"2362",1
"2363",2
"2364",1
"2365",1
"2366",1
"2367",4
"2368",1
"2369",1
"2370",1
"2371",3
"2372",3
"2373",4
"2374",1
"2375",1
"2376",2
"2377",5
"2378",5
"2379",2
"2380",1
"2381",2
"2382",3
"2383",1
"2384",2
"2385",3
"2386",1
"2387",1
"2388",5
"2389",5
"2390",1
"2391",1
"2392",1
"2393",4
"2394",2
"2395",2
"2396",2
"2397",3
"2398",2
"2399",2
"2400",2
"2401",2
"2402",1
"2403",1
"2404",1
"2405",3
"2406",3
"2407",5
"2408",1
"2409",1
"2410",2
"2411",2
"2412",1
"2413",2
"2414",5
"2415",2
"2416",5
"2417",2
"2418",3
"2419",1
"2420",5
"2421",2
"2422",3
"2423",1
"2424",2
"2425",2
"2426",2
"2427",2
"2428",5
"2429",4
"2430",3
"2431",2
"2432",2
"2433",2
"2434",2
"2435",4
"2436",2
"2437",1
"2438",2
"2439",3
"2440",1
"2441",2
"2442",2
"2443",1
"2444",2
"2445",2
"2446",4
"2447",1
"2448",2
"2449",1
"2450",2
"2451",2
"2452",1
"2453",1
"2454",2
"2455",1
"2456",1
"2457",3
"2458",1
"2459",1
"2460",1
"2461",2
"2462",1
"2463",1
"2464",1
"2465",4
"2466",4
"2467",4
"2468",4
"2469",1
"2470",2
"2471",2
"2472",4
"2473",4
"2474",5
"2475",2
"2476",4
"2477",4
"2478",4
"2479",1
"2480",2
"2481",3
"2482",5
"2483",3
"2484",3
"2485",3
"2486",4
"2487",2
"2488",4
"2489",4
"2490",4
"2491",2
"2492",4
"2493",4
"2494",2
"2495",1
"2496",1
"2497",1
